Year,Property_Damage,Deaths,Prevalent_Cause
1960,3.2,5545,flammables
1961,3,6340,cooking
1962,3.4,6400,cooking
1963,3.3,5890,heating
1964,3.5,5995,cooking
1965,4,6685,electrical
1966,3.5,6700,children
1967,3.6,5225,flammables
1968,3.8,6185,cooking
1969,4,5200,cooking
1970,4.1,4870,heating
1971,3.9,6540,children
1972,3.9,6885,electrical
1973,4.2,7100,heating
1974,4.1,6955,cooking
1975,4.3,5990,cooking
1976,4.5,7000,cooking
1977,4.7,7395,cooking
1978,4.5,7710,electrical
1979,5.8,7575,heating
1980,6.3,6505,children
1981,6.7,6700,flammables
1982,6.4,6020,cooking
1983,6.6,5920,cooking
1984,6.7,5240,electrical
1985,7.3,6185,cooking
1986,6.7,5850,electrical
1987,7.2,5810,children
1988,8.4,6215,electrical
1989,8.7,5410,cooking
1990,7.8,5195,cooking
1991,9.5,4465,heating
1992,8.3,4730,children
1993,8.5,4635,cooking
1994,8.2,4275,cooking
1995,8.9,4585,cooking
1996,9.4,4990,electrical
1997,8.5,4050,heating
1998,8.6,4035,electrical
1999,10,3570,cooking
2000,11.2,4045,electrical
2001,44,6196,electrical
2002,10.3,3380,electrical
2003,12.3,3925,heating
2004,9.8,3900,heating
2005,10.7,3675,heating
2006,11.3,3245,heating
2007,14.6,3430,heating
2008,15.5,3320,heating
2009,12.5,3010,heating
2010,11.6,3120,heating
2011,11.7,3005,heating
2012,12.4,2855,electrical
2013,11.5,3240,electrical
2014,11.6,3275,cooking
2015,14.3,3280,cooking
2016,10.6,3390,cooking
2017,23,3400,cooking
2018,25.6,3655,cooking
